target_gene,rank,integrated_score,direction,peak_condition,context_specificity,causal_component,genetics_component,drug_component,novelty_component,peak_signed_score,peak_emp_z,peak_emp_fdr,peak_kd,genetics_tier,genetics_autoimmune,lof_constrained,lof_bin,ot_top_disease,ot_top_score,ot_autoimmune_disease,ot_autoimmune_score,primary_class,suggested_modality,tractability_tier,is_druggable,novelty_class,n_drugs,drug_stages,max_drug_stage,novel_priority,in_paper_noms,evidence_n,ensembl_id
MAP1LC3A,1431,0.20749297971918879,brake_agonize,Stim8hr,0.79761577,0.3073322932917317,0.0,0.15,0.5,0.48894835,3.1368203,0.021518504921098802,-4.665470671656522,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000101460
NGLY1,1432,0.20731617264690588,driver_antagonize,Stim48hr,0.6704087,0.30681227249089965,0.0,0.15,0.5,-0.4896373,-3.136509,0.031618650007473936,-10.013782648575996,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000151092
GPATCH4,1433,0.207139365574623,driver_antagonize,Stim48hr,0.5423467,0.30629225169006763,0.0,0.15,0.5,-0.466818,-3.1345875,0.031731363829487345,-8.125592435705364,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000160818
CBX1,1434,0.2069783486149342,driver_antagonize,Stim48hr,0.29804903,0.12792511700468018,0.2016126961111431,0.15,0.5,-0.40039405,-2.9378507,0.04490085250402111,-6.1996220421588095,weak,0.2016126961111431,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000108468
CLDND2,1435,0.2069625585023401,brake_agonize,Stim8hr,0.75453854,0.30577223088923555,0.0,0.15,0.5,0.5019847,3.1336968,0.021653267007969598,-3.694250008267853,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000160318
AHNAK,1436,0.20678575143005723,brake_agonize,Rest,0.58491063,0.30525221008840353,0.0,0.15,0.5,0.5077341,3.1332803,0.04355176847363883,-18.11311905270032,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000124942
MYO1G,1437,0.20660894435777433,driver_antagonize,Stim48hr,0.33924848,0.3047321892875715,0.0,0.15,0.5,-0.4460427,-3.1328983,0.031755218962395255,-27.46877225599693,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000136286
RHOF,1438,0.20625533021320852,driver_antagonize,Stim48hr,0.57526135,0.3036921476859074,0.0,0.15,0.5,-0.590204,-3.1323726,0.031755218962395255,-19.10956259690025,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000139725
ARHGEF12,1439,0.20607852314092565,brake_agonize,Stim8hr,0.30802482,0.3031721268850754,0.0,0.15,0.5,0.37392566,3.1321692,0.02174235679417899,-10.157812182571568,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000196914
CAPZA2,1440,0.20590171606864277,driver_antagonize,Stim8hr,0.8117203,0.30265210608424337,0.0,0.15,0.5,-0.45999542,-3.1317122,0.021752352150716112,-23.0881019437932,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000198898
LSS,1441,0.20572490899635987,driver_antagonize,Stim8hr,0.6444267,0.30213208528341134,0.0,0.15,0.5,-0.3781723,-3.1312907,0.021759741507289897,-2.771810703896155,none,0.0,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000160285
MAP3K21,1442,0.20554810192407696,brake_agonize,Rest,0.7431553,0.3016120644825793,0.0,0.15,0.5,0.40958247,3.1308556,0.04371990485131974,-1.872754550907884,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000143674
ATP5PD,1443,0.20537129485179406,driver_antagonize,Stim48hr,0.9789698,0.30109204368174725,0.0,0.15,0.5,-0.47176185,-3.1308203,0.03182023385047815,-13.284651029429122,none,0.0,False,,,,,,transporter,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000167863
VOPP1,1444,0.2051944877795112,driver_antagonize,Stim48hr,0.56821716,0.3005720228809152,0.0,0.15,0.5,-0.44488165,-3.1301873,0.031837368443260135,-6.298199337858808,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000154978
ARNT,1445,0.2050176807072283,brake_agonize,Rest,0.36854994,0.3000520020800832,0.0,0.15,0.5,0.8835842,3.129191,0.04371990485131974,-17.67732833735752,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000143437
AGMAT,1446,0.2048408736349454,driver_antagonize,Stim48hr,0.801005,0.2995319812792512,0.0,0.15,0.5,-0.51748013,-3.12821,0.03200063661348548,-10.763163161091835,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000116771
ARRDC3,1447,0.20466406656266253,brake_agonize,Stim48hr,0.77204025,0.29901196047841916,0.0,0.15,0.5,0.45278338,3.1276977,0.03200484788996683,-14.672262280535314,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000113369
RRAD,1448,0.2044872594903796,driver_antagonize,Stim48hr,0.13020885,0.2984919396775871,0.0,0.15,0.5,-0.47311231,-3.1270454,0.03202114985295003,-2.677212943334333,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000166592
DEGS1,1449,0.20413364534581385,brake_agonize,Stim8hr,0.4916998,0.29745189807592304,0.0,0.15,0.5,0.5367387,3.1255095,0.022123434508945695,-32.929025477664446,none,0.0,False,,,,,,enzyme,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000143753
