,dolc_IFNG_z,dolc_IL2_z,schmidt_signed,schmidt_dir,schmidt_causal,schmidt_integrated,direction,integrated_score
PLEKHF1,-0.2081123924387322,0.0477660235791239,-0.2081123924387322,driver_antagonize,0.2081123924387322,0.11833695652173915,brake_agonize,0.25293239729589184
PLEKHF2,-0.1072510683092081,0.005578350028771,-0.1072510683092081,driver_antagonize,0.1072510683092081,0.10706521739130435,driver_antagonize,0.14225117004680188
PLEKHM1,-0.6791270490668019,0.2816939540838648,-0.6791270490668019,driver_antagonize,0.6791270490668019,0.4514860772872009,driver_antagonize,0.5435792118821499
PLEKHO2,-0.0903253744824275,0.8368000106411442,-0.0903253744824275,driver_antagonize,0.8368000106411442,0.2903695652173913,driver_antagonize,0.40074310972438903
PLOD3,-1.7658431357270827,-0.3939319560129992,-1.7658431357270827,driver_antagonize,1.7658431357270827,0.41380434782608694,driver_antagonize,0.3802334893395736
PML,1.1533684787042795,-0.0364964462414566,1.1533684787042795,brake_agonize,1.1533684787042795,0.3550434782608696,driver_antagonize,0.2957197087883515
PNPLA8,0.6641937532449356,-0.4116075196959524,0.6641937532449356,brake_agonize,0.6641937532449356,0.35556948088025936,driver_antagonize,0.3129342811244431
PNPT1,0.4587188703351689,0.3372564441515973,0.4587188703351689,brake_agonize,0.4587188703351689,0.385906335408722,brake_agonize,0.642937598833172
POC1B,-1.5297191043334637,0.3684672598462571,-1.5297191043334637,driver_antagonize,1.5297191043334637,0.39883695652173917,driver_antagonize,0.2251736869474779
PODXL,-1.515053094239153,0.4649151625838679,-1.515053094239153,driver_antagonize,1.515053094239153,0.3975434782608696,driver_antagonize,0.3206495059802392
PODXL2,-0.673968501960826,-0.2065560604405629,-0.673968501960826,driver_antagonize,0.673968501960826,0.43135337378558036,brake_agonize,0.4890409091130804
POLI,0.2354581522414409,-0.2877984332470771,0.2354581522414409,brake_agonize,0.2877984332470771,0.45005096569046865,driver_antagonize,0.5956297771037947
POLR2L,0.6031487814426668,0.1349925198351656,0.6031487814426668,brake_agonize,0.6031487814426668,0.22754347826086957,driver_antagonize,0.16364482579303175
POLRMT,0.8641413372614896,-0.1533381150175349,0.8641413372614896,brake_agonize,0.8641413372614896,0.2983152173913044,brake_agonize,0.19723816952678108
POMT2,0.6046956260065524,0.0079471403213803,0.6046956260065524,brake_agonize,0.6046956260065524,0.22846739130434784,brake_agonize,0.26743057722308894
PON2,-0.268522003330458,0.7918382883346904,-0.268522003330458,driver_antagonize,0.7918382883346904,0.27817391304347827,driver_antagonize,0.39402444097763917
POR,-0.2445104174333099,0.221966907503631,-0.2445104174333099,driver_antagonize,0.2445104174333099,0.12517391304347827,driver_antagonize,0.379703068122725
POU2F2,-0.2285470646416662,-1.1126156491600727,-0.2285470646416662,driver_antagonize,1.1126156491600727,0.3485760869565218,brake_agonize,0.24939625585023403
PPAT,0.1089190309059219,2.217594271409697,0.1089190309059219,brake_agonize,2.217594271409697,0.42729347826086955,driver_antagonize,0.34416484659386376
PPCDC,-1.301609837101394,-1.4381139377045666,-1.301609837101394,driver_antagonize,1.4381139377045666,0.5964627398181932,brake_agonize,0.49813254356686487
PPDPF,0.7306311463790095,-0.1110544494763765,0.7306311463790095,brake_agonize,0.7306311463790095,0.26228260869565223,brake_agonize,0.40286479459178365
PPIF,0.5202634514268326,-0.2204196683951481,0.5202634514268326,brake_agonize,0.5202634514268326,0.41333200073665016,brake_agonize,0.5524556243772479
PPIG,-0.1148134004218236,0.0336611842838448,-0.1148134004218236,driver_antagonize,0.1148134004218236,0.10835869565217393,driver_antagonize,0.4177165886635466
