target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,suggested_modality,is_druggable,n_drugs,drug_stages,max_drug_stage,novelty_class,in_paper_noms
BTBD3,ENSG00000132640,driver_antagonize,Rest,3.177106,0.6594809765447965,strong,,undetermined,False,,,,not_assessed,False
BTG2,ENSG00000159388,brake_agonize,Rest,4.2690816,0.0,none,,undetermined,False,,,,not_assessed,False
BTG3,ENSG00000154640,brake_agonize,Stim8hr,2.93917,0.0,none,,undetermined,False,,,,not_assessed,False
BTN3A3,ENSG00000111801,brake_agonize,Stim8hr,3.740389,0.0,none,,undetermined,False,,,,not_assessed,False
BTRC,ENSG00000166167,driver_antagonize,Stim48hr,3.3400912,0.0,none,,undetermined,False,,,,not_assessed,False
C10orf88,ENSG00000119965,brake_agonize,Rest,3.2374663,0.0,none,,undetermined,False,,,,not_assessed,False
C11orf21,ENSG00000110665,driver_antagonize,Stim48hr,3.253671,0.0,none,,undetermined,False,,,,not_assessed,False
C11orf54,ENSG00000182919,brake_agonize,Stim8hr,3.5420184,0.0,none,,undetermined,False,,,,not_assessed,False
C15orf48,ENSG00000166920,driver_antagonize,Stim48hr,3.2181892,0.0,none,,undetermined,False,,,,not_assessed,False
C16orf87,ENSG00000155330,brake_agonize,Stim48hr,3.8061433,0.0,none,,undetermined,False,,,,not_assessed,False
C18orf32,ENSG00000177576,brake_agonize,Stim8hr,3.856007,0.0,none,,undetermined,False,,,,not_assessed,False
C1GALT1C1,ENSG00000171155,brake_agonize,Stim48hr,2.9509084,0.140588749233783,weak,,undetermined,False,,,,not_assessed,False
C1R,ENSG00000159403,driver_antagonize,Stim48hr,3.1162813,0.7599134970145264,strong,enzyme,small molecule,True,,,,not_assessed,False
C1orf122,ENSG00000197982,driver_antagonize,Stim8hr,4.7782497,0.1903670781373236,weak,,undetermined,False,0.0,,,novel_undrugged,False
C1orf174,ENSG00000198912,brake_agonize,Stim8hr,2.8434768,0.4784676359587069,moderate,,undetermined,False,,,,not_assessed,False
C1orf198,ENSG00000119280,driver_antagonize,Rest,4.2787786,0.0,none,,undetermined,False,,,,not_assessed,False
C1orf216,ENSG00000142686,driver_antagonize,Stim8hr,5.5899806,0.0,none,,undetermined,False,,,,not_assessed,False
C1orf74,ENSG00000162757,driver_antagonize,Stim8hr,3.7743733,0.0,none,,undetermined,False,,,,not_assessed,False
C2CD4D,ENSG00000225556,driver_antagonize,Stim48hr,3.6192348,0.0,none,,undetermined,False,,,,not_assessed,False
C2orf68,ENSG00000168887,driver_antagonize,Stim8hr,4.8303537,0.0,none,,undetermined,False,,,,not_assessed,False
C4orf3,ENSG00000164096,driver_antagonize,Stim8hr,3.7732465,0.0,none,,undetermined,False,,,,not_assessed,False
C5orf34,ENSG00000172244,brake_agonize,Stim8hr,3.5861392,0.0,none,,undetermined,False,,,,not_assessed,False
C5orf63,ENSG00000164241,brake_agonize,Rest,3.297434,0.0,none,,undetermined,False,,,,not_assessed,False
C8orf33,ENSG00000182307,brake_agonize,Stim8hr,4.06155,0.3279573573425469,moderate,,undetermined,False,0.0,,,novel_undrugged,False
C8orf76,ENSG00000189376,driver_antagonize,Stim8hr,4.2861705,0.0,none,,undetermined,False,,,,not_assessed,False
CA11,ENSG00000063180,driver_antagonize,Stim48hr,3.313102,0.0,none,,undetermined,False,,,,not_assessed,False
CAAP1,ENSG00000120159,driver_antagonize,Stim8hr,2.8984175,0.362471820434408,moderate,,undetermined,False,,,,not_assessed,False
CAB39,ENSG00000135932,brake_agonize,Stim48hr,3.0763602,0.0,none,,undetermined,False,,,,not_assessed,False
CABIN1,ENSG00000099991,driver_antagonize,Stim48hr,3.7766387,0.0,none,,undetermined,False,,,,not_assessed,False
CACUL1,ENSG00000151893,brake_agonize,Stim48hr,3.2944055,0.0,none,,undetermined,False,,,,not_assessed,False
CALD1,ENSG00000122786,driver_antagonize,Stim8hr,3.4454303,0.0,none,,undetermined,False,,,,not_assessed,False
CAMK1,ENSG00000134072,driver_antagonize,Stim48hr,4.120158,0.0,none,enzyme,small molecule,True,,,,not_assessed,False
CAMK1D,ENSG00000183049,driver_antagonize,Stim48hr,3.1751745,0.0,none,enzyme,small molecule,True,,,,not_assessed,False
