target_gene,ensembl_id,peak_condition,direction,abs_emp_z,peak_signed_score,genetics_autoimmune,autoimmune_ot_score,ot_autoimmune_disease,ot_top_disease,ot_top_score,lof_bin,lof_constrained,mis_z,genetics_tier
PDP2,ENSG00000172840,Stim8hr,driver_antagonize,4.131507,-0.61084026,0.3485957850411636,0.3485957850411636,,hypertensive disorder,0.138,4.0,False,1.7024999856948853,moderate
PDSS2,ENSG00000164494,Stim8hr,brake_agonize,4.218199,1.146789,0.0,0.0,,,,,False,,none
PDXP,ENSG00000241360,Stim48hr,driver_antagonize,3.2008839,-0.47540557,0.0,0.0,,,,,False,,none
PEA15,ENSG00000162734,Stim48hr,driver_antagonize,3.2210803,-0.45029518,0.0,0.0,,,,,False,,none
PECAM1,ENSG00000261371,Stim48hr,driver_antagonize,4.2763505,-0.6457494,0.0,0.0,,,,,False,,none
PELI2,ENSG00000139946,Rest,brake_agonize,5.968551,0.82702845,0.5262820249853171,0.5262820249853171,ulcerative colitis,alcohol drinking,0.44,3.0,False,1.6938999891281128,strong
PEMT,ENSG00000133027,Stim8hr,driver_antagonize,5.364548,-0.83668095,0.0,0.0,,,,,False,,none
PEPD,ENSG00000124299,Stim48hr,driver_antagonize,3.9811363,-0.6260764,0.0,0.0,,,,,False,,none
PEX11G,ENSG00000104883,Rest,brake_agonize,3.2071626,0.3839436,0.0,0.0,,,,,False,,none
PEX19,ENSG00000162735,Stim8hr,brake_agonize,4.7985163,0.6186857,0.0,0.0,,,,,False,,none
PFDN1,ENSG00000113068,Stim48hr,driver_antagonize,4.263338,-0.6106265,0.0,0.0,,,,,False,,none
PFDN5,ENSG00000123349,Stim48hr,driver_antagonize,3.037595,-0.41568515,0.0,0.0,,,,,False,,none
PFKM,ENSG00000152556,Rest,brake_agonize,7.7216086,1.1061288,0.0,0.0,,glycogen storage disease VII,0.819,3.0,False,4.077199935913086,none
PGAM1,ENSG00000171314,Stim48hr,driver_antagonize,3.4743452,-0.5608147,0.0,0.0,,,,,False,,none
PGBD2,ENSG00000185220,Stim8hr,driver_antagonize,3.0941787,-0.38920093,0.0,0.0,,,,,False,,none
PGGHG,ENSG00000142102,Stim8hr,driver_antagonize,3.3321288,-0.45944563,0.0,0.0,,,,,False,,none
PGK1,ENSG00000102144,Stim8hr,driver_antagonize,3.066263,-0.45046282,0.0,0.0,,,,,False,,none
PGRMC2,ENSG00000164040,Stim8hr,driver_antagonize,3.1579654,-0.47461447,0.4467987086190741,0.4467987086190741,,,,,False,,moderate
PGS1,ENSG00000087157,Stim8hr,driver_antagonize,6.969342,-1.0611718,0.0,0.0,,metabolic syndrome,0.382,5.0,False,0.7597100138664246,none
PHAF1,ENSG00000125149,Stim8hr,driver_antagonize,3.7793362,-0.65209305,0.0,0.0,,,,,False,,none
PHC2,ENSG00000134686,Stim8hr,driver_antagonize,2.824272,-0.41027948,0.0,0.0,,,,,False,,none
PHF11,ENSG00000136147,Stim8hr,driver_antagonize,3.0056252,-0.3976868,0.0,0.0,,,,,False,,none
PHF2,ENSG00000197724,Stim8hr,driver_antagonize,3.4989667,-0.56029266,0.0,0.0,,,,,False,,none
PHLDA3,ENSG00000174307,Stim48hr,driver_antagonize,3.987484,-0.6104139,0.0,0.0,,,,,False,,none
PHLPP2,ENSG00000040199,Stim8hr,brake_agonize,3.5831256,0.54646426,0.0,0.0,,,,,False,,none
PHOSPHO2,ENSG00000144362,Stim8hr,brake_agonize,4.5719886,0.8983186,0.0,0.0,,,,,False,,none
PHRF1,ENSG00000070047,Stim8hr,driver_antagonize,3.0991879,-0.44540253,0.1986128942981632,0.1986128942981632,,,,,False,,weak
PHTF1,ENSG00000116793,Stim8hr,brake_agonize,2.9409418,0.44066513,0.7798079667511278,0.7798079667511278,,,,,False,,strong
PIAS1,ENSG00000033800,Stim8hr,brake_agonize,3.0697277,0.46581098,0.0,0.0,,,,,False,,none
PIAS3,ENSG00000131788,Stim8hr,driver_antagonize,5.571702,-0.7735915,0.0,0.0,,,,,False,,none
PIDD1,ENSG00000177595,Stim48hr,brake_agonize,4.7088256,0.5750324,0.0,0.0,,,,,False,,none
PIGU,ENSG00000101464,Stim48hr,brake_agonize,3.4652948,0.46199426,0.0,0.0,,,,,False,,none
PIGV,ENSG00000060642,Stim8hr,brake_agonize,2.8816977,0.39815107,0.0,0.0,,,,,False,,none
PIK3C2B,ENSG00000133056,Stim8hr,driver_antagonize,2.9029684,-0.50796956,0.4070794908639161,0.4070794908639161,,,,,False,,moderate
PIK3C3,ENSG00000078142,Stim48hr,brake_agonize,3.8063512,0.6391875,0.5370239449920692,0.5370239449920692,,neurodegenerative disease,0.544,5.0,False,1.801900029182434,strong
PIK3IP1,ENSG00000100100,Rest,driver_antagonize,3.734107,-0.51261026,0.0,0.0,,,,,False,,none
PIK3R2,ENSG00000105647,Stim8hr,driver_antagonize,2.8430042,-0.41841483,0.0,0.0,,,,,False,,none
PIMREG,ENSG00000129195,Stim8hr,driver_antagonize,3.3119724,-0.465693,0.0,0.0,,,,,False,,none
PIP4K2B,ENSG00000276293,Stim8hr,driver_antagonize,4.583658,-0.6870745,0.0,0.0,,,,,False,,none
PIP4P2,ENSG00000155099,Stim8hr,driver_antagonize,2.904169,-0.5602212,0.0,0.0,,,,,False,,none
PIP5K1A,ENSG00000143398,Stim48hr,driver_antagonize,4.0613136,-0.64420855,0.0,0.0,,,,,False,,none
PITHD1,ENSG00000057757,Stim48hr,driver_antagonize,2.9012892,-0.42697617,0.0,0.0,,,,,False,,none
PITPNA,ENSG00000174238,Stim8hr,brake_agonize,3.2378411,0.4350808,0.0,0.0,,,,,False,,none
PKN1,ENSG00000123143,Rest,brake_agonize,3.471968,0.62787014,0.0,0.0,,,,,False,,none
PLA2G12A,ENSG00000123739,Stim48hr,driver_antagonize,2.9612157,-0.4100729,0.0,0.0,,,,,False,,none
PLA2G4A,ENSG00000116711,Stim8hr,brake_agonize,4.496093,0.7862081,0.3628127197901791,0.3628127197901791,,cytosolic phospholipase-A2 alpha deficiency associated bleeding disorder,0.615,4.0,False,1.6164000034332275,moderate
PLAC8,ENSG00000145287,Stim48hr,driver_antagonize,3.5933464,-0.5284231,0.1281749332871363,0.1281749332871363,,gastrointestinal disease,0.26,5.0,False,0.6499900221824646,weak
PLCG2,ENSG00000197943,Stim8hr,driver_antagonize,3.0493429,-0.44860205,0.8398422226271292,0.8398422226271292,,,,,False,,strong
