target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,protein_classes,tractability_tier,suggested_modality,is_druggable,sm_clinical,sm_ligand,sm_pocket,sm_druggable_family,ab_clinical,ab_surface,n_drugs,drug_stages
CCDC91,ENSG00000123106,driver_antagonize,Stim8hr,2.8033142,0.5622633342434851,strong,,,unknown,undetermined,False,,,,,,,,
CCL3,ENSG00000277632,driver_antagonize,Stim48hr,4.509887,0.0,none,cytokine,cytokine,class_tractable_bio,biologic (secreted),True,,,,,,,,
CCL4,ENSG00000275302,driver_antagonize,Stim8hr,3.7920444,0.0,none,cytokine,cytokine,class_tractable_bio,biologic (secreted),True,,,,,,,,
CCL5,ENSG00000271503,driver_antagonize,Stim48hr,2.9412427,0.0,none,cytokine,cytokine,class_tractable_bio,biologic (secreted),True,,,,,,,,
CCNA1,ENSG00000133101,brake_agonize,Stim8hr,3.814424,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCNB1IP1,ENSG00000100814,driver_antagonize,Stim8hr,3.8169744,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCNE1,ENSG00000105173,driver_antagonize,Stim48hr,3.1069338,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCNG2,ENSG00000138764,driver_antagonize,Stim8hr,3.3781793,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCNK,ENSG00000090061,driver_antagonize,Rest,3.2580411,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCNL1,ENSG00000163660,driver_antagonize,Stim48hr,3.4526114,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCNT1,ENSG00000129315,driver_antagonize,Stim48hr,3.5450761,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCR2,ENSG00000121807,driver_antagonize,Stim8hr,3.219898,0.4665486971881019,moderate,GPCR,GPCR;cytokine_receptor,class_tractable_sm,small molecule,True,,,,,,,,
CCSAP,ENSG00000154429,brake_agonize,Rest,4.091676,0.0,none,,,unknown,undetermined,False,,,,,,,,
CD14,ENSG00000170458,driver_antagonize,Stim48hr,3.7895522,0.0,none,,,unknown,undetermined,False,,,,,,,,
CD151,ENSG00000177697,driver_antagonize,Stim8hr,3.2617612,0.3853829905994653,moderate,,,unknown,undetermined,False,,,,,,,,
CD2,ENSG00000116824,driver_antagonize,Stim8hr,5.7509675,0.6718718291704483,strong,,,clinical_precedent,antibody/biologic (surface),True,False,False,False,False,True,True,2.0,APPROVAL;PHASE_2
CD200,ENSG00000091972,driver_antagonize,Stim8hr,3.0508175,0.7059437680159258,strong,,,unknown,undetermined,False,,,,,,,,
CD2BP2,ENSG00000169217,driver_antagonize,Stim8hr,2.7671638,0.240754811715101,weak,,,unknown,undetermined,False,,,,,,,,
CD3D,ENSG00000167286,driver_antagonize,Stim8hr,3.0172515,0.0,none,,,unknown,undetermined,False,,,,,,,,
CD3E,ENSG00000198851,driver_antagonize,Stim8hr,2.8261483,0.2325439515092809,weak,,,unknown,undetermined,False,,,,,,,,
CD3G,ENSG00000160654,driver_antagonize,Stim8hr,4.0491066,0.0,none,,,unknown,undetermined,False,,,,,,,,
CD46,ENSG00000117335,driver_antagonize,Stim8hr,3.890433,0.0,none,,,unknown,undetermined,False,,,,,,,,
CD69,ENSG00000110848,driver_antagonize,Rest,3.4168017,0.6930394506413726,strong,,,sm_tractable,small molecule,True,False,True,False,False,False,True,0.0,
CD7,ENSG00000173762,brake_agonize,Stim48hr,4.8968415,0.0,none,,,unknown,undetermined,False,,,,,,,,
CD79A,ENSG00000105369,driver_antagonize,Stim8hr,3.0186691,0.0,none,,,unknown,undetermined,False,,,,,,,,
CD79B,ENSG00000007312,driver_antagonize,Stim48hr,4.935311,0.0,none,,,unknown,undetermined,False,,,,,,,,
CD9,ENSG00000010278,driver_antagonize,Stim8hr,3.9229887,0.0,none,,,unknown,undetermined,False,,,,,,,,
CDC123,ENSG00000151465,driver_antagonize,Rest,3.091777,0.0,none,,,unknown,undetermined,False,,,,,,,,
CDC25A,ENSG00000164045,driver_antagonize,Stim8hr,2.94203,0.0,none,,,unknown,undetermined,False,,,,,,,,
CDCA3,ENSG00000111665,driver_antagonize,Stim8hr,3.0494504,0.0,none,,,unknown,undetermined,False,,,,,,,,
CDCA7L,ENSG00000164649,driver_antagonize,Stim8hr,2.803696,0.0,none,,,unknown,undetermined,False,,,,,,,,
