gene,protein_classes,primary_class
SLC35F6,transporter,transporter
SLC16A5,transporter,transporter
SLC29A3,transporter,transporter
SLC4A7,transporter,transporter
SLCO1C1,transporter,transporter
SLC41A2,transporter,transporter
TUSC3,transporter,transporter
SLC22A17,transporter,transporter
MPC2,transporter,transporter
ATP2C2,transporter,transporter
SLC22A9,transporter,transporter
SLC18B1,transporter,transporter
SLC39A11,transporter,transporter
SLC11A2,transporter,transporter
SLC6A9,transporter,transporter
SLC27A3,transporter,transporter
SLC13A3,transporter,transporter
SLC38A7,transporter,transporter
SLC2A2,transporter,transporter
SLC15A2,transporter,transporter
SLC16A10,transporter,transporter
SLC47A2,transporter,transporter
SLC35E2B,transporter,transporter
SLC26A1,transporter,transporter
TCIRG1,transporter,transporter
SLC25A5,transporter,transporter
ATP6V1E2,transporter,transporter
ABCC12,transporter,transporter
SLC9A3,transporter,transporter
UCP3,transporter,transporter
SLC25A45,transporter,transporter
SLC6A3,transporter,transporter
SLC12A5,transporter,transporter
SLC25A17,transporter,transporter
SLC16A6,transporter,transporter
ATP6V1C1,transporter,transporter
SLC7A13,transporter,transporter
ATP6V1H,transporter,transporter
SLC17A2,transporter,transporter
ABCA4,transporter,transporter
SLC1A3,transporter,transporter
ATP5F1D,transporter,transporter
SLC17A7,transporter,transporter
SLC23A1,transporter,transporter
SLC5A5,transporter,transporter
ATP1B3,transporter,transporter
SLC16A12,transporter,transporter
ATP8B3,transporter,transporter
SLC7A9,transporter,transporter
SLC4A8,transporter,transporter
ATP6V1E1,transporter,transporter
SLC35D3,transporter,transporter
ATP2A2,transporter,transporter
SLC7A3,transporter,transporter
SLC30A9,transporter,transporter
ABCC11,transporter,transporter
ABCC9,transporter,transporter
SLC6A12,transporter,transporter
SLC38A2,transporter,transporter
SLC35F2,transporter,transporter
NIPA1,transporter,transporter
XPR1,transporter,transporter
ABCA9,transporter,transporter
SLC28A2,transporter,transporter
ATP6V0A4,transporter,transporter
SLC22A20P,transporter,transporter
ATP8A2,transporter,transporter
MPC1L,transporter,transporter
SLC25A11,transporter,transporter
SLC10A3,transporter,transporter
SLC23A3,transporter,transporter
SLC11A1,transporter,transporter
ABCC6,transporter,transporter
ATP6V0E2,transporter,transporter
TAP1,transporter,transporter
ABCB6,transporter,transporter
SLC39A9,transporter,transporter
SLCO2B1,transporter,transporter
SLC35B1,transporter,transporter
SLC51A,transporter,transporter
SFXN5,transporter,transporter
SLC35A2,transporter,transporter
SLC35F3,transporter,transporter
SLC25A40,transporter,transporter
ATP11A,transporter,transporter
SLC43A3,transporter,transporter
SLC38A11,transporter,transporter
ATP2B4,transporter,transporter
SLC41A1,transporter,transporter
TAP2,transporter,transporter
ABCD3,transporter,transporter
SLC52A3,transporter,transporter
SLC30A10,transporter,transporter
SLC25A30,transporter,transporter
SLC26A7,transporter,transporter
SLC25A33,transporter,transporter
SLC9A4,transporter,transporter
SLC35C2,transporter,transporter
SLC5A6,transporter,transporter
SLC8B1,transporter,transporter
ATP6V0A2,transporter,transporter
ABCD2,transporter,transporter
ATP1B2,transporter,transporter
ABCC2,transporter,transporter
SLC25A14,transporter,transporter
SLC2A9,transporter,transporter
SLC25A3,transporter,transporter
SLC35F4,transporter,transporter
SLC38A5,transporter,transporter
SLC35E4,transporter,transporter
SLC39A8,transporter,transporter
SLC16A14,transporter,transporter
SPNS2,transporter,transporter
ATP5ME,transporter,transporter
SLC35E2A,transporter,transporter
SLC1A5,transporter,transporter
SLC6A13,transporter,transporter
NIPAL1,transporter,transporter
SLC25A47,transporter,transporter
SLC22A1,transporter,transporter
ATP7B,transporter,transporter
SLC7A14,transporter,transporter
ABCA3,transporter,transporter
SLC2A14,transporter,transporter
SLC7A8,transporter,transporter
SLC23A2,transporter,transporter
SLC22A8,transporter,transporter
SLC25A44,transporter,transporter
SLC25A24,transporter,transporter
SLC35G3,transporter,transporter
SLC22A18,transporter,transporter
ABCG8,transporter,transporter
SLC40A1,transporter,transporter
ATP6V0D2,transporter,transporter
SLC44A5,transporter,transporter
SLC6A11,transporter,transporter
ATP6V0C,transporter,transporter
SLC22A15,transporter,transporter
SLC39A2,transporter,transporter
MTCH2,transporter,transporter
ATP10D,transporter,transporter
SLC25A32,transporter,transporter
SLC13A5,transporter,transporter
SLC24A3,transporter,transporter
SLC10A4,transporter,transporter
SLC45A3,transporter,transporter
SLC35G6,transporter,transporter
ATP6V0A1,transporter,transporter
ATP6V1G2,transporter,transporter
FLVCR2,transporter,transporter
SLC26A10,transporter,transporter
SLC4A4,transporter,transporter
SLC35B3,transporter,transporter
SLC2A5,transporter,transporter
SLC37A2,transporter,transporter
ABCB8,transporter,transporter
ATP6V1F,transporter,transporter
MFSD2A,transporter,transporter
SLC19A3,transporter,transporter
SLC6A17,transporter,transporter
SLC18A1,transporter,transporter
SLC16A7,transporter,transporter
SLC36A1,transporter,transporter
SLC1A4,transporter,transporter
SLC2A12,transporter,transporter
ABCB7,transporter,transporter
ABCC3,transporter,transporter
NIPA2,transporter,transporter
SLC12A6,transporter,transporter
SLC44A3,transporter,transporter
ABCA2,transporter,transporter
SLC39A13,transporter,transporter
ATP6V1C2,transporter,transporter
SLC12A4,transporter,transporter
ATP5MF,transporter,transporter
ATP7A,transporter,transporter
NPC1L1,transporter,transporter
ABCG2,transporter,transporter
SLC6A20,transporter,transporter
SLC13A1,transporter,transporter
SLC25A51,transporter,transporter
SFXN1,transporter,transporter
SLC30A6,transporter,transporter
SLC34A1,transporter,transporter
SLC44A4,transporter,transporter
SLC30A7,transporter,transporter
SLC37A1,transporter,transporter
SLC39A3,transporter,transporter
RHAG,transporter,transporter
ATP12A,transporter,transporter
SLC23A4P,transporter,transporter
SLC22A3,transporter,transporter
SLC35A4,transporter,transporter
SLC25A15,transporter,transporter
ATP2B1,transporter,transporter
SLC2A11,transporter,transporter
SLC1A1,transporter,transporter
ATP10A,transporter,transporter
SLCO1B3,transporter,transporter
SLC7A7,transporter,transporter
SLC10A6,transporter,transporter
SLC13A4,transporter,transporter
ATP4B,transporter,transporter
SLC39A5,transporter,transporter
LETM1,transporter,transporter
SLC25A28,transporter,transporter
SLC25A29,transporter,transporter
SLC25A2,transporter,transporter
SLC46A1,transporter,transporter
SLC16A2,transporter,transporter
SLC26A6,transporter,transporter
ABCA1,transporter,transporter
SLC39A4,transporter,transporter
SLC5A8,transporter,transporter
ATP8B2,transporter,transporter
SLC5A9,transporter,transporter
SLC22A10,transporter,transporter
SLC22A14,transporter,transporter
SLC5A12,transporter,transporter
SLC5A4,transporter,transporter
SLC2A6,transporter,transporter
SLC6A2,transporter,transporter
ATP8B1,transporter,transporter
MT-ATP8,transporter,transporter
SLC9A2,transporter,transporter
SLC25A46,transporter,transporter
SV2A,transporter,transporter
ABCG1,transporter,transporter
MT-ATP6,transporter,transporter
SLCO4C1,transporter,transporter
SLC5A11,transporter,transporter
SLC20A2,transporter,transporter
SLC49A3,transporter,transporter
ATP1A4,transporter,transporter
ATP6V1B2,transporter,transporter
SLC4A3,transporter,transporter
SLC38A4,transporter,transporter
SLC36A4,transporter,transporter
FLVCR1,transporter,transporter
ABCA12,transporter,transporter
SLC31A2,transporter,transporter
SLC9B1,transporter,transporter
NIPAL4,transporter,transporter
SLC35E3,transporter,transporter
SLC7A1,transporter,transporter
SLC28A1,transporter,transporter
SLC25A22,transporter,transporter
SLC4A1,transporter,transporter
ABCA5,transporter,transporter
ABCB10,transporter,transporter
SLC22A6,transporter,transporter
SLC35A3,transporter,transporter
LETMD1,transporter,transporter
UCP1,transporter,transporter
SLC25A13,transporter,transporter
SLC16A4,transporter,transporter
SLC9A6,transporter,transporter
SLC29A4,transporter,transporter
SLC37A3,transporter,transporter
SLC46A3,transporter,transporter
ATP6V1A,transporter,transporter
ATP11C,transporter,transporter
MAGT1,transporter,transporter
SLC24A4,transporter,transporter
SLC16A11,transporter,transporter
SLC22A2,transporter,transporter
NR1H3,nuclear_receptor;transcription_factor,nuclear_receptor
PPARG,nuclear_receptor;transcription_factor,nuclear_receptor
RARA,nuclear_receptor;transcription_factor,nuclear_receptor
NR0B2,nuclear_receptor,nuclear_receptor
NR1D2,nuclear_receptor;transcription_factor,nuclear_receptor
PGR,nuclear_receptor;transcription_factor,nuclear_receptor
NR1I3,nuclear_receptor;transcription_factor,nuclear_receptor
RXRG,nuclear_receptor;transcription_factor,nuclear_receptor
VDR,nuclear_receptor;transcription_factor,nuclear_receptor
NR1I2,nuclear_receptor;transcription_factor,nuclear_receptor
THRA,nuclear_receptor;transcription_factor,nuclear_receptor
ESRRB,nuclear_receptor;transcription_factor,nuclear_receptor
PPARD,nuclear_receptor;transcription_factor,nuclear_receptor
RARB,nuclear_receptor;transcription_factor,nuclear_receptor
NR1H4,nuclear_receptor;transcription_factor,nuclear_receptor
NR2E1,nuclear_receptor;transcription_factor,nuclear_receptor
NR5A2,nuclear_receptor;transcription_factor,nuclear_receptor
PPARA,nuclear_receptor;transcription_factor,nuclear_receptor
NR0B1,nuclear_receptor;transcription_factor,nuclear_receptor
NR2C2,nuclear_receptor;transcription_factor,nuclear_receptor
NR2F1,nuclear_receptor;transcription_factor,nuclear_receptor
RXRA,nuclear_receptor;transcription_factor,nuclear_receptor
RORB,nuclear_receptor;transcription_factor,nuclear_receptor
NR4A3,nuclear_receptor;transcription_factor,nuclear_receptor
NR4A2,nuclear_receptor;transcription_factor,nuclear_receptor
AR,nuclear_receptor;transcription_factor,nuclear_receptor
NR1H2,nuclear_receptor;transcription_factor,nuclear_receptor
NR2F2,nuclear_receptor;transcription_factor,nuclear_receptor
NR1D1,nuclear_receptor;transcription_factor,nuclear_receptor
NR3C1,nuclear_receptor;transcription_factor,nuclear_receptor
NR3C2,nuclear_receptor;transcription_factor,nuclear_receptor
ESR1,nuclear_receptor;transcription_factor,nuclear_receptor
NR6A1,nuclear_receptor;transcription_factor,nuclear_receptor
NR2C1,nuclear_receptor;transcription_factor,nuclear_receptor
NR2E3,nuclear_receptor;transcription_factor,nuclear_receptor
NR4A1,nuclear_receptor;transcription_factor,nuclear_receptor
RORC,nuclear_receptor;transcription_factor,nuclear_receptor
RARG,nuclear_receptor;transcription_factor,nuclear_receptor
HNF4A,nuclear_receptor;transcription_factor,nuclear_receptor
ESRRA,nuclear_receptor;transcription_factor,nuclear_receptor
THRB,nuclear_receptor;transcription_factor,nuclear_receptor
NR2F6,nuclear_receptor;transcription_factor,nuclear_receptor
ESRRG,nuclear_receptor;transcription_factor,nuclear_receptor
HNF4G,nuclear_receptor;transcription_factor,nuclear_receptor
RXRB,nuclear_receptor;transcription_factor,nuclear_receptor
ESR2,nuclear_receptor;transcription_factor,nuclear_receptor
NR5A1,nuclear_receptor;transcription_factor,nuclear_receptor
TNFRSF18,catalytic_receptor;cytokine_receptor,catalytic_receptor
NOD2,catalytic_receptor,catalytic_receptor
NLRX1,catalytic_receptor,catalytic_receptor
MST1R,catalytic_receptor,catalytic_receptor
IFNLR1,catalytic_receptor;cytokine_receptor,catalytic_receptor
TLR9,catalytic_receptor,catalytic_receptor
TNFRSF10C,catalytic_receptor;cytokine_receptor,catalytic_receptor
RELT,catalytic_receptor;cytokine_receptor,catalytic_receptor
PTPRE,catalytic_receptor,catalytic_receptor
EDAR,catalytic_receptor;cytokine_receptor,catalytic_receptor
NLRP5,catalytic_receptor,catalytic_receptor
PTPRR,catalytic_receptor,catalytic_receptor
TLR4,catalytic_receptor,catalytic_receptor
PTPRF,catalytic_receptor,catalytic_receptor
DHX58,catalytic_receptor,catalytic_receptor
NPR1,catalytic_receptor,catalytic_receptor
SIGIRR,catalytic_receptor;cytokine_receptor,catalytic_receptor
GUCY2D,catalytic_receptor,catalytic_receptor
NLRP3,catalytic_receptor,catalytic_receptor
PTPRA,catalytic_receptor,catalytic_receptor
TNFRSF10D,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGA6,catalytic_receptor,catalytic_receptor
LEPR,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL6ST,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL22RA1,catalytic_receptor;cytokine_receptor,catalytic_receptor
ACVR2A,catalytic_receptor,catalytic_receptor
CIITA,catalytic_receptor,catalytic_receptor
PTPRJ,catalytic_receptor,catalytic_receptor
GFRA1,catalytic_receptor,catalytic_receptor
IFNAR1,catalytic_receptor;cytokine_receptor,catalytic_receptor
MPL,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL17RD,catalytic_receptor;cytokine_receptor,catalytic_receptor
IFNGR2,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGA2B,catalytic_receptor,catalytic_receptor
ITGA7,catalytic_receptor,catalytic_receptor
TLR1,catalytic_receptor,catalytic_receptor
IL11RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
NLRP11,catalytic_receptor,catalytic_receptor
IL4R,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF12A,catalytic_receptor;cytokine_receptor,catalytic_receptor
NLRP7,catalytic_receptor,catalytic_receptor
IL21R,catalytic_receptor;cytokine_receptor,catalytic_receptor
OSMR,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL10RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL10RB,catalytic_receptor;cytokine_receptor,catalytic_receptor
PTPRU,catalytic_receptor,catalytic_receptor
ITGAD,catalytic_receptor,catalytic_receptor
DDX58,catalytic_receptor,catalytic_receptor
TNFRSF19,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF6B,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF21,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL18R1,catalytic_receptor;cytokine_receptor,catalytic_receptor
CRLF2,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF1A,catalytic_receptor;cytokine_receptor,catalytic_receptor
FLT4,catalytic_receptor,catalytic_receptor
IL13RA1,catalytic_receptor;cytokine_receptor,catalytic_receptor
NLRP10,catalytic_receptor,catalytic_receptor
IL7R,catalytic_receptor;cytokine_receptor,catalytic_receptor
NLRP14,catalytic_receptor,catalytic_receptor
TLR7,catalytic_receptor,catalytic_receptor
IL1RL2,catalytic_receptor;cytokine_receptor,catalytic_receptor
PTPRB,catalytic_receptor,catalytic_receptor
ACVRL1,catalytic_receptor,catalytic_receptor
EDA2R,catalytic_receptor;cytokine_receptor,catalytic_receptor
NOD1,catalytic_receptor,catalytic_receptor
ITGAV,catalytic_receptor,catalytic_receptor
TNFRSF11A,catalytic_receptor;cytokine_receptor,catalytic_receptor
TLR8,catalytic_receptor,catalytic_receptor
ITGA4,catalytic_receptor,catalytic_receptor
IL2RB,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGB8,catalytic_receptor,catalytic_receptor
IL31RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGB6,catalytic_receptor,catalytic_receptor
TLR5,catalytic_receptor,catalytic_receptor
GUCY1B2,catalytic_receptor,catalytic_receptor
BMPR1A,catalytic_receptor,catalytic_receptor
PTPRC,catalytic_receptor,catalytic_receptor
PTPRG,catalytic_receptor,catalytic_receptor
IL17RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF9,catalytic_receptor;cytokine_receptor,catalytic_receptor
NLRP8,catalytic_receptor,catalytic_receptor
IL3RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
NLRP6,catalytic_receptor,catalytic_receptor
TGFBR2,catalytic_receptor,catalytic_receptor
IL20RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
ACVR2B,catalytic_receptor,catalytic_receptor
ITGB2,catalytic_receptor,catalytic_receptor
ACVR1B,catalytic_receptor,catalytic_receptor
NLRP4,catalytic_receptor,catalytic_receptor
PTPRQ,catalytic_receptor,catalytic_receptor
NLRP2,catalytic_receptor,catalytic_receptor
IL17RE,catalytic_receptor;cytokine_receptor,catalytic_receptor
NPR3,catalytic_receptor,catalytic_receptor
NLRC4,catalytic_receptor,catalytic_receptor
PTPRK,catalytic_receptor,catalytic_receptor
ACVR1C,catalytic_receptor,catalytic_receptor
TNFRSF14,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL9R,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL27RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
LIFR,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGA1,catalytic_receptor,catalytic_receptor
PTPRD,catalytic_receptor,catalytic_receptor
TGFBR3,catalytic_receptor,catalytic_receptor
IL15RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
GFRA2,catalytic_receptor,catalytic_receptor
LTBR,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGB4,catalytic_receptor,catalytic_receptor
ITGA5,catalytic_receptor,catalytic_receptor
CSF2RB,catalytic_receptor;cytokine_receptor,catalytic_receptor
TLR6,catalytic_receptor,catalytic_receptor
NLRP12,catalytic_receptor,catalytic_receptor
ROR2,catalytic_receptor,catalytic_receptor
IL20RB,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF8,catalytic_receptor;cytokine_receptor,catalytic_receptor
TLR2,catalytic_receptor,catalytic_receptor
ITGB7,catalytic_receptor,catalytic_receptor
NLRC3,catalytic_receptor,catalytic_receptor
TLR10,catalytic_receptor,catalytic_receptor
KDR,catalytic_receptor,catalytic_receptor
ITGA2,catalytic_receptor,catalytic_receptor
PTPRZ1,catalytic_receptor,catalytic_receptor
IFIH1,catalytic_receptor,catalytic_receptor
TLR3,catalytic_receptor,catalytic_receptor
FAS,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL2RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
NLRP13,catalytic_receptor,catalytic_receptor
CSF2RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGB1,catalytic_receptor,catalytic_receptor
GUCY2F,catalytic_receptor,catalytic_receptor
EPHA10,catalytic_receptor,catalytic_receptor
IL13RA2,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGB3,catalytic_receptor,catalytic_receptor
PTPRO,catalytic_receptor,catalytic_receptor
EPOR,catalytic_receptor;cytokine_receptor,catalytic_receptor
GUCY2GP,catalytic_receptor,catalytic_receptor
PTPRM,catalytic_receptor,catalytic_receptor
PTPRN,catalytic_receptor,catalytic_receptor
PDGFRB,catalytic_receptor,catalytic_receptor
IL6R,catalytic_receptor;cytokine_receptor,catalytic_receptor
PTPRN2,catalytic_receptor,catalytic_receptor
IL23R,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF4,catalytic_receptor;cytokine_receptor,catalytic_receptor
PTPRS,catalytic_receptor,catalytic_receptor
TNFRSF10A,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGAX,catalytic_receptor,catalytic_receptor
IL1R1,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF1B,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGB5,catalytic_receptor,catalytic_receptor
TNFRSF10B,catalytic_receptor;cytokine_receptor,catalytic_receptor
PDGFRA,catalytic_receptor,catalytic_receptor
ITGAE,catalytic_receptor,catalytic_receptor
PTPRT,catalytic_receptor,catalytic_receptor
NLRP9,catalytic_receptor,catalytic_receptor
NPR2,catalytic_receptor,catalytic_receptor
ITGA10,catalytic_receptor,catalytic_receptor
ITGAM,catalytic_receptor,catalytic_receptor
GFRA3,catalytic_receptor,catalytic_receptor
IFNGR1,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGA11,catalytic_receptor,catalytic_receptor
IL22RA2,catalytic_receptor;cytokine_receptor,catalytic_receptor
CD27,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL2RG,catalytic_receptor;cytokine_receptor,catalytic_receptor
ROR1,catalytic_receptor,catalytic_receptor
GFRAL,catalytic_receptor,catalytic_receptor
BMPR1B,catalytic_receptor,catalytic_receptor
NLRP1,catalytic_receptor,catalytic_receptor
GHR,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL5RA,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL1R2,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF13C,catalytic_receptor;cytokine_receptor,catalytic_receptor
NGFR,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF13B,catalytic_receptor;cytokine_receptor,catalytic_receptor
PRLR,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL17RB,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL12RB2,catalytic_receptor;cytokine_receptor,catalytic_receptor
CNTFR,catalytic_receptor;cytokine_receptor,catalytic_receptor
IL12RB1,catalytic_receptor;cytokine_receptor,catalytic_receptor
IFNAR2,catalytic_receptor;cytokine_receptor,catalytic_receptor
ITGA8,catalytic_receptor,catalytic_receptor
ITGA9,catalytic_receptor,catalytic_receptor
GFRA4,catalytic_receptor,catalytic_receptor
TNFRSF17,catalytic_receptor;cytokine_receptor,catalytic_receptor
CD40,catalytic_receptor;cytokine_receptor,catalytic_receptor
PTPRH,catalytic_receptor,catalytic_receptor
NLRC5,catalytic_receptor,catalytic_receptor
TGFBR1,catalytic_receptor,catalytic_receptor
IL1RL1,catalytic_receptor;cytokine_receptor,catalytic_receptor
CSF3R,catalytic_receptor;cytokine_receptor,catalytic_receptor
TNFRSF25,catalytic_receptor;cytokine_receptor,catalytic_receptor
FLT1,catalytic_receptor,catalytic_receptor
ITGA3,catalytic_receptor,catalytic_receptor
IL17RC,catalytic_receptor;cytokine_receptor,catalytic_receptor
FGF7,cytokine,cytokine
FGF14,cytokine,cytokine
NPW,cytokine,cytokine
CXCL6,cytokine,cytokine
KITLG,cytokine,cytokine
CXCL3,cytokine,cytokine
GH1,cytokine,cytokine
GDF7,cytokine,cytokine
PENK,cytokine,cytokine
NPFF,cytokine,cytokine
UBL5,cytokine,cytokine
CNTF,cytokine,cytokine
CBLN4,cytokine,cytokine
EGF,cytokine,cytokine
FGF4,cytokine,cytokine
EDN1,cytokine,cytokine
FGF10,cytokine,cytokine
CCK,cytokine,cytokine
IFNL1,cytokine,cytokine
INHBE,cytokine,cytokine
UCN2,cytokine,cytokine
EFNA1,cytokine,cytokine
BMP8B,cytokine,cytokine
NTF3,cytokine,cytokine
UTS2,cytokine,cytokine
SST,cytokine,cytokine
BMP15,cytokine,cytokine
CCL8,cytokine,cytokine
UCN,cytokine,cytokine
PROK2,cytokine,cytokine
ADCYAP1,cytokine,cytokine
CCL3,cytokine,cytokine
EFNA3,cytokine,cytokine
BMP5,cytokine,cytokine
CCL22,cytokine,cytokine
INHBA,cytokine,cytokine
IL4,cytokine,cytokine
THPO,cytokine,cytokine
IFNA5,cytokine,cytokine
IAPP,cytokine,cytokine
EBI3,cytokine,cytokine
CD70,cytokine,cytokine
IFNA4,cytokine,cytokine
TNFSF9,cytokine,cytokine
IGF1,cytokine,cytokine
IL25,cytokine,cytokine
GPR15LG,cytokine,cytokine
CCL21,cytokine,cytokine
CXCL17,cytokine,cytokine
CSF1,cytokine,cytokine
IL16,cytokine,cytokine
TAC4,cytokine,cytokine
LIF,cytokine,cytokine
FGF5,cytokine,cytokine
TNFSF14,cytokine,cytokine
FASLG,cytokine,cytokine
PRL,cytokine,cytokine
NXPH1,cytokine,cytokine
CHGA,cytokine,cytokine
NMU,cytokine,cytokine
NPPB,cytokine,cytokine
GH2,cytokine,cytokine
IL36RN,cytokine,cytokine
CXCL13,cytokine,cytokine
CXCL12,cytokine,cytokine
CXCL1,cytokine,cytokine
FGF20,cytokine,cytokine
LHB,cytokine,cytokine
XCL1,cytokine,cytokine
CGB2,cytokine,cytokine
IL7,cytokine,cytokine
FGF22,cytokine,cytokine
NUCB2,cytokine,cytokine
NPPA,cytokine,cytokine
CGB5,cytokine,cytokine
NODAL,cytokine,cytokine
AGT,cytokine,cytokine
IL36G,cytokine,cytokine
CXCL2,cytokine,cytokine
GALP,cytokine,cytokine
GAS6,cytokine,cytokine
IL17A,cytokine,cytokine
FGF13,cytokine,cytokine
CBLN2,cytokine,cytokine
CALCA,cytokine,cytokine
PTH2,cytokine,cytokine
INS,cytokine,cytokine
RLN3,cytokine,cytokine
IL22,cytokine,cytokine
PDGFA,cytokine,cytokine
IL24,cytokine,cytokine
PRLH,cytokine,cytokine
CXCL10,cytokine,cytokine
CCL13,cytokine,cytokine
GAL,cytokine,cytokine
GHRH,cytokine,cytokine
CCL5,cytokine,cytokine
CXCL11,cytokine,cytokine
IL1F10,cytokine,cytokine
BDNF,cytokine,cytokine
BMP10,cytokine,cytokine
KNG1,cytokine,cytokine
ARTN,cytokine,cytokine
GDF10,cytokine,cytokine
CCL19,cytokine,cytokine
RETNLB,cytokine,cytokine
CCL3L1,cytokine,cytokine
FGF2,cytokine,cytokine
CSH1,cytokine,cytokine
CXCL8,cytokine,cytokine
NGF,cytokine,cytokine
CSF3,cytokine,cytokine
CARTPT,cytokine,cytokine
FSHB,cytokine,cytokine
SPX,cytokine,cytokine
IFNG,cytokine,cytokine
CD40LG,cytokine,cytokine
CXCL5,cytokine,cytokine
IL21,cytokine,cytokine
QRFP,cytokine,cytokine
NXPH2,cytokine,cytokine
FGF21,cytokine,cytokine
BMP2,cytokine,cytokine
IL15,cytokine,cytokine
IL17B,cytokine,cytokine
CCL24,cytokine,cytokine
NMB,cytokine,cytokine
IL12A,cytokine,cytokine
CCL16,cytokine,cytokine
IL18,cytokine,cytokine
SCG3,cytokine,cytokine
AGRP,cytokine,cytokine
TNFSF13B,cytokine,cytokine
NXPH4,cytokine,cytokine
FGF6,cytokine,cytokine
IL1B,cytokine,cytokine
NMS,cytokine,cytokine
PYY,cytokine,cytokine
IL12B,cytokine,cytokine
PPBP,cytokine,cytokine
CCL23,cytokine,cytokine
GDF5,cytokine,cytokine
CCL4L1,cytokine,cytokine
PSPN,cytokine,cytokine
IFNA2,cytokine,cytokine
IFNL2,cytokine,cytokine
HGF,cytokine,cytokine
OXT,cytokine,cytokine
NXPH3,cytokine,cytokine
CCL4L2,cytokine,cytokine
ADIPOQ,cytokine,cytokine
NPS,cytokine,cytokine
FGF11,cytokine,cytokine
EFNB2,cytokine,cytokine
GDF11,cytokine,cytokine
CALCB,cytokine,cytokine
FGF23,cytokine,cytokine
GAST,cytokine,cytokine
EDN2,cytokine,cytokine
SCT,cytokine,cytokine
BMP3,cytokine,cytokine
CX3CL1,cytokine,cytokine
NRG1,cytokine,cytokine
TNFSF18,cytokine,cytokine
CCL18,cytokine,cytokine
EFNA5,cytokine,cytokine
PDYN,cytokine,cytokine
IL9,cytokine,cytokine
NPB,cytokine,cytokine
IL10,cytokine,cytokine
FGF9,cytokine,cytokine
GDF3,cytokine,cytokine
CCL17,cytokine,cytokine
CYTL1,cytokine,cytokine
IL36B,cytokine,cytokine
FGF19,cytokine,cytokine
SCG2,cytokine,cytokine
AREG,cytokine,cytokine
CHGB,cytokine,cytokine
VEGFD,cytokine,cytokine
BMP4,cytokine,cytokine
IL1RN,cytokine,cytokine
CBLN3,cytokine,cytokine
IL37,cytokine,cytokine
TGFB1,cytokine,cytokine
PNOC,cytokine,cytokine
IFNA7,cytokine,cytokine
INHA,cytokine,cytokine
CORT,cytokine,cytokine
IL20,cytokine,cytokine
CCL7,cytokine,cytokine
CLCF1,cytokine,cytokine
TRH,cytokine,cytokine
FGF16,cytokine,cytokine
PF4V1,cytokine,cytokine
PDGFB,cytokine,cytokine
IL23A,cytokine,cytokine
FLT3LG,cytokine,cytokine
IL1A,cytokine,cytokine
CCL4,cytokine,cytokine
SCG5,cytokine,cytokine
IL17C,cytokine,cytokine
GDF1,cytokine,cytokine
CGB7,cytokine,cytokine
IFNA1,cytokine,cytokine
NAMPT,cytokine,cytokine
CCL11,cytokine,cytokine
HCRT,cytokine,cytokine
CCL15,cytokine,cytokine
INHBB,cytokine,cytokine
CCL20,cytokine,cytokine
TNFSF12,cytokine,cytokine
