gene,protein_classes,primary_class
RRH,GPCR,GPCR
GABBR1,GPCR,GPCR
EDNRB,GPCR,GPCR
OR52R1,GPCR,GPCR
OR2Z1,GPCR,GPCR
OR6J1,GPCR,GPCR
PCDHA@,GPCR,GPCR
OR1G1,GPCR,GPCR
TAS2R5,GPCR,GPCR
OR1E3,GPCR,GPCR
ADGRA1,GPCR,GPCR
DPYSL5,GPCR,GPCR
FFAR2,GPCR,GPCR
OR52K1,GPCR,GPCR
SUCNR1,GPCR,GPCR
UTS2R,GPCR,GPCR
ADRB1,GPCR,GPCR
OR5M1,GPCR,GPCR
LHCGR,GPCR,GPCR
OR9Q1,GPCR,GPCR
OR5M10,GPCR,GPCR
OR56A3,GPCR,GPCR
PAWR,GPCR,GPCR
VN1R5,GPCR,GPCR
CCR1,GPCR;cytokine_receptor,GPCR
OR6C2,GPCR,GPCR
OR4S2,GPCR,GPCR
GPR31,GPCR,GPCR
TAS2R9,GPCR,GPCR
ADGRG5,GPCR,GPCR
XCR1,GPCR;cytokine_receptor,GPCR
GPR107,GPCR,GPCR
CXCR4,GPCR;cytokine_receptor,GPCR
ADRA1A,GPCR,GPCR
C5AR1,GPCR,GPCR
GPR3,GPCR,GPCR
OR5B3,GPCR,GPCR
GPR160,GPCR,GPCR
TRHR,GPCR,GPCR
OR5H15,GPCR,GPCR
HTR1A,GPCR,GPCR
RHO,GPCR,GPCR
OR1I1,GPCR,GPCR
TAS2R41,GPCR,GPCR
OR1Q1,GPCR,GPCR
LPAR4,GPCR,GPCR
OR5AP2,GPCR,GPCR
OR2W1,GPCR,GPCR
TAS2R46,GPCR,GPCR
VIPR1,GPCR,GPCR
BDKRB2,GPCR,GPCR
GPR153,GPCR,GPCR
NTSR2,GPCR,GPCR
ADGRB3,GPCR,GPCR
GPRC5C,GPCR,GPCR
OR11H12,GPCR,GPCR
OR12D2,GPCR,GPCR
OR2V2,GPCR,GPCR
OR4K2,GPCR,GPCR
GPR179,GPCR,GPCR
OR8H3,GPCR,GPCR
MRGPRX3,GPCR,GPCR
GPR15,GPCR,GPCR
TAS2R3,GPCR,GPCR
OR10AD1,GPCR,GPCR
OR14K1,GPCR,GPCR
OR4D6,GPCR,GPCR
MRGPRG,GPCR,GPCR
ADORA1,GPCR,GPCR
OR2A4,GPCR,GPCR
GPR61,GPCR,GPCR
OR6Y1,GPCR,GPCR
CHRM2,GPCR,GPCR
GABBR2,GPCR,GPCR
OR1A2,GPCR,GPCR
OR5M3,GPCR,GPCR
GOLGB1,GPCR,GPCR
OR8B8,GPCR,GPCR
TAAR1,GPCR,GPCR
OR2G2,GPCR,GPCR
MC4R,GPCR,GPCR
VN1R3,GPCR,GPCR
OR11H6,GPCR,GPCR
ADGRG1,GPCR,GPCR
OR5AC1,GPCR,GPCR
GPRC6A,GPCR,GPCR
CXCR6,GPCR;cytokine_receptor,GPCR
OR8J1,GPCR,GPCR
GPR82,GPCR,GPCR
PTGER2,GPCR,GPCR
OR1N2,GPCR,GPCR
GALR1,GPCR,GPCR
TAS2R10,GPCR,GPCR
LTB4R,GPCR,GPCR
OR11H7,GPCR,GPCR
OR51G2,GPCR,GPCR
HCAR3,GPCR,GPCR
OR5P2,GPCR,GPCR
SSTR1,GPCR,GPCR
OR4D5,GPCR,GPCR
OR10AG1,GPCR,GPCR
GPR37L1,GPCR,GPCR
OR2AT4,GPCR,GPCR
OR8D4,GPCR,GPCR
S1PR5,GPCR,GPCR
MRGPRF,GPCR,GPCR
NPY1R,GPCR,GPCR
OR2AP1,GPCR,GPCR
OR1L6,GPCR,GPCR
OR3A1,GPCR,GPCR
OR8G1,GPCR,GPCR
F2R,GPCR,GPCR
OR10H3,GPCR,GPCR
CCR7,GPCR;cytokine_receptor,GPCR
OR4F17,GPCR,GPCR
OR6M1,GPCR,GPCR
OR8K5,GPCR,GPCR
OR2T10,GPCR,GPCR
ADRA2C,GPCR,GPCR
OR5M9,GPCR,GPCR
OR6A2,GPCR,GPCR
OR2A42,GPCR,GPCR
OR51M1,GPCR,GPCR
OR2AE1,GPCR,GPCR
OPN1MW3,GPCR,GPCR
LPAR6,GPCR,GPCR
OR5AN1,GPCR,GPCR
S1PR1,GPCR,GPCR
DRD4,GPCR,GPCR
TAS2R43,GPCR,GPCR
MAS1,GPCR,GPCR
OR10G4,GPCR,GPCR
OR51T1,GPCR,GPCR
OR8B4,GPCR,GPCR
GPRC5B,GPCR,GPCR
OR5M8,GPCR,GPCR
OPRM1,GPCR,GPCR
